2.2,1.9,1.0,2.32
2.09,1.9,1.0,2.4
2.2,1.71,1.0,2.48
2.09,1.71,1.0,2.56
2.2,1.71,1.0,2.56
2.31,1.71,1.0,2.4
2.2,1.52,1.0,2.56
2.42,1.71,1.0,2.88
2.2,1.71,1.0,2.72
2.2,1.71,1.0,2.64
2.2,1.71,1.0,2.48
2.09,1.71,1.0,2.4
2.2,1.71,1.0,2.4
2.09,1.71,1.0,2.4
2.09,1.9,1.0,2.08
1.98,2.09,1.0,2.0
2.2,2.09,1.0,1.92
2.09,1.9,1.0,1.84
2.09,1.9,1.0,1.76
2.2,1.9,1.0,1.68
2.31,1.9,2.0,1.68
2.31,2.09,2.0,1.68
2.53,2.09,3.0,1.6
2.86,2.66,3.0,1.52
3.3,2.85,3.0,1.44
2.2,1.9,3.0,1.44
2.09,1.71,3.0,1.52
2.09,1.71,2.0,1.52
2.09,1.71,2.0,1.52
2.09,1.71,2.0,1.6
2.2,1.71,2.0,1.6
2.2,2.09,1.0,1.6
2.53,2.09,1.0,1.52
2.53,1.9,2.0,1.52
2.2,1.9,2.0,1.52
2.42,1.9,2.0,1.52
2.42,1.9,2.0,1.52
2.75,1.71,2.0,1.6
2.75,1.71,3.0,1.6
2.53,1.71,3.0,1.68
2.64,1.71,3.0,1.68
2.64,1.71,3.0,1.68
2.75,1.71,2.0,1.76
2.86,1.9,2.0,1.68
2.75,2.09,1.0,1.76
2.86,1.9,1.0,1.76
2.64,1.9,1.0,1.84
2.86,2.09,1.0,1.92
2.86,2.09,1.0,2.0
2.97,2.09,1.0,2.16
2.97,2.09,1.0,2.24
2.86,2.28,1.0,2.32
2.86,2.09,1.0,2.24
2.75,2.09,1.0,2.24
2.86,2.09,1.0,2.4
2.86,2.09,1.0,2.4
2.97,1.9,1.0,2.56
2.97,2.09,1.0,2.4
3.08,2.28,1.0,2.56
2.97,2.09,1.0,2.8
2.97,2.09,1.0,2.48
2.97,1.9,1.0,2.56
3.08,1.9,1.0,2.48
3.08,2.09,1.0,2.4
3.08,2.09,1.0,2.24
3.08,1.9,1.0,2.32
2.97,2.09,1.0,2.16
2.97,2.09,1.0,2.0
2.97,1.9,1.0,1.92
3.08,1.9,1.0,1.76
3.08,1.9,1.0,1.68
3.08,2.09,1.0,1.84
3.3,2.28,2.0,1.68
3.85,2.47,2.0,1.6
4.07,2.66,2.0,1.6
4.18,3.23,3.0,1.52
5.06,4.37,3.0,1.44
3.52,2.47,2.0,1.52
3.52,2.47,3.0,1.52
3.85,2.66,2.0,1.52
3.96,2.66,2.0,1.52
3.85,2.47,2.0,1.44
3.74,2.66,2.0,1.52
3.85,2.66,2.0,1.52
4.51,2.85,2.0,1.52
4.73,2.85,2.0,1.52
3.96,2.47,2.0,1.44
3.52,2.47,1.0,1.52
3.52,2.47,1.0,1.52
3.52,2.66,1.0,1.6
3.3,2.66,2.0,1.6
3.3,2.66,2.0,1.68
3.3,2.66,2.0,1.6
3.19,2.66,2.0,1.76
3.3,2.66,2.0,1.76
3.52,2.66,1.0,1.84
3.63,2.66,1.0,1.84
3.74,2.66,1.0,1.84
3.63,2.66,1.0,1.92
3.85,3.04,1.0,2.16
3.52,2.85,1.0,2.08
3.41,2.85,4.0,2.32
3.41,3.04,100.0,2.48
3.3,3.04,28.0,2.4
3.3,2.85,11.0,2.4
3.85,2.85,9.0,2.64
4.07,2.85,7.0,2.8
3.85,2.85,6.0,2.88
3.96,2.85,8.0,2.88
3.96,3.04,8.0,2.96
3.85,2.85,6.0,2.96
3.96,2.85,7.0,3.28
4.18,2.85,8.0,3.04
4.18,3.04,14.0,3.2
4.18,3.04,15.0,3.12
4.29,3.23,10.0,3.04
4.4,3.23,8.0,3.04
4.4,3.23,12.0,3.04
4.29,3.23,7.0,2.8
4.29,3.42,8.0,2.56
4.29,3.04,9.0,2.56
6.38,3.04,9.0,2.4
6.82,3.04,10.0,2.24
6.49,3.42,10.0,2.24
6.27,3.99,12.0,2.08
6.38,4.18,13.0,2.0
6.93,4.37,15.0,1.92
7.37,4.56,19.0,1.92
9.35,6.08,22.0,1.92
6.71,3.99,16.0,1.92
6.27,3.61,12.0,2.0
6.93,3.23,10.0,2.0
7.15,3.42,7.0,2.0
5.94,3.61,6.0,1.84
5.5,3.61,5.0,1.92
5.61,3.61,4.0,1.92
5.39,3.61,3.0,2.0
5.94,3.42,3.0,1.84
6.49,2.85,3.0,1.76
6.82,2.85,3.0,1.76
7.81,3.04,2.0,1.84
7.7,3.04,2.0,1.92
8.14,3.04,2.0,1.92
8.14,3.04,2.0,2.08
7.92,3.23,2.0,1.92
6.71,3.04,2.0,1.92
6.27,3.04,1.0,1.92
6.27,3.04,1.0,2.0
5.94,3.04,1.0,2.08
7.37,3.04,1.0,2.16
7.7,3.23,1.0,2.24
7.7,3.23,1.0,2.24
7.15,3.04,1.0,2.32
7.26,3.04,1.0,2.4
7.04,3.23,1.0,2.48
7.15,3.23,1.0,2.56
8.25,3.23,1.0,2.48
7.37,3.42,1.0,2.64
6.16,3.23,1.0,2.8
5.94,3.23,1.0,2.88
5.39,3.04,1.0,2.72
5.28,3.04,1.0,2.8
5.17,3.04,1.0,2.96
5.61,3.23,1.0,3.2
5.83,3.23,1.0,3.44
5.72,3.23,1.0,3.28
5.5,3.23,1.0,3.44
5.39,3.23,1.0,3.12
5.5,3.23,1.0,3.2
5.83,3.42,1.0,3.04
5.94,3.42,1.0,2.88
6.05,3.42,1.0,2.64
6.05,3.42,1.0,2.48
8.58,3.23,2.0,2.32
8.36,3.42,2.0,2.24
7.81,3.42,2.0,2.24
7.7,3.61,2.0,2.16
8.03,4.18,2.0,2.0
8.8,4.37,2.0,2.0
8.8,4.75,2.0,1.92
9.46,6.65,2.0,1.84
9.02,5.32,2.0,1.76
8.36,5.7,2.0,1.84
7.81,5.7,2.0,1.84
6.93,5.13,2.0,1.84
7.37,4.56,2.0,1.76
8.03,4.56,2.0,1.84
7.48,4.75,2.0,1.84
7.26,5.32,3.0,2.0
7.37,5.13,4.0,1.92
7.37,4.37,4.0,1.84
7.26,4.56,3.0,2.4
7.04,4.75,3.0,2.32
8.47,4.75,2.0,2.16
8.8,5.32,2.0,2.4
